State,Region,Life Exp,Per capita expenditure on health ($),Over 60 (%),Annual growth rate (%),Living in urban (%),Total fertility rate (per woman),Adolescent fertility rate (per 1000 women),Longitude
Afghanistan,Asia&Oceanania,42,27,4,3.3,24,7.1,151,65
Albania,Europe,72,187,13,0.3,46,2.1,13,20
Algeria,Africa,71,148,7,1.5,65,2.4,4,3
Andorra,Europe,81,2822,22,1.2,89,1.3,10,1.6
Angola,Africa,53,71,4,2.7,56,6.5,165,18.5
Antigua and Barbuda,LatinAmerica,74,517,11,1.7,31,2.1,67,-61.8
Argentina,LatinAmerica,75,551,14,1,92,2.3,62,-64
Armenia,Asia&Oceanania,69,98,14,-0.5,64,1.4,25,45
Australia,Asia&Oceanania,82,3302,19,1.1,89,1.8,15,133
Austria,Europe,80,3974,22,0.3,67,1.4,12,13.3333
Azerbaijan,Asia&Oceanania,68,102,9,0.6,52,1.8,44,47.5
Bahamas,LatinAmerica,74,1419,10,1.3,83,2,43,-76
Bahrain,MiddleEast,75,788,5,2.1,88,2.3,15,50.55
Bangladesh,Asia&Oceanania,64,12,6,1.9,27,2.9,127,90
Barbados,LatinAmerica,76,774,13,0.4,39,1.5,51,-59.5333
Belarus,Europe,70,243,18,-0.5,73,1.2,20,28
Belgium,Europe,80,3726,23,0.3,97,1.6,10,4
Belize,LatinAmerica,68,205,6,2.4,51,3,90,-88.75
Benin,Africa,57,26,4,3.1,41,5.5,114,2.25
Bhutan,Asia&Oceanania,63,49,7,2.4,33,2.2,46,90.5
Bolivia,LatinAmerica,66,79,7,2,65,3.5,88,-65
Bosnia and Herzegovina,Europe,75,296,20,1.3,47,1.2,16,18
Botswana,Africa,56,379,5,1.4,59,2.9,51,24
Brazil,LatinAmerica,73,427,9,1.4,85,2.3,56,-55
Brunei Darussalam,Asia&Oceanania,76,571,5,2.3,74,2.3,26,114.6667
Bulgaria,Europe,73,297,23,-0.5,71,1.3,38,25
Burkina Faso,Africa,49,27,4,3.1,19,6,131,-2
Burundi,Africa,49,10,4,2.9,10,6.8,30,30
Cambodia,Asia&Oceanania,61,30,5,1.9,21,3.2,52,105
Cameroon,Africa,52,45,5,2.3,56,4.4,141,12
Canada,NorthAmerica,81,3917,19,1,80,1.5,14,-95
Cape Verde,Africa,70,112,5,2.3,59,3.4,92,-24
Central African Republic,Africa,48,14,6,1.8,38,4.6,133,21
Chad,Africa,46,29,5,3.5,26,6.2,193,19
Chile,LatinAmerica,78,473,12,1.1,88,1.9,49,-71
China,Asia&Oceanania,74,94,11,0.7,43,1.7,5,105
Colombia,LatinAmerica,75,217,8,1.5,74,2.2,96,-72
Comoros,Africa,65,16,4,2.7,28,4.4,95,44.25
Congo,Africa,55,44,5,2.4,61,4.5,132,15
Cook Islands,Asia&Oceanania,73,566,8,-2.7,73,2.6,47,-159.7667
Costa Rica,LatinAmerica,79,402,9,2,63,2.1,63,-84
Côte d'Ivoire,Africa,54,35,5,1.9,48,4.5,111,-5
Croatia,Europe,76,790,23,-0.1,57,1.3,13,15.5
Cuba,LatinAmerica,78,362,16,0.2,76,1.5,42,-80
Cyprus,MiddleEast,80,1459,17,1.3,70,1.6,6,33
Czech Republic,Europe,77,953,21,-0.1,73,1.2,11,15.5
Democratic People's Republic of Korea,Asia&Oceanania,66,0,14,0.7,62,1.9,57,127
Democratic Republic of the Congo,Africa,52,10,4,2.8,33,6.7,124,15
Denmark,Europe,78,5447,22,0.3,86,1.8,6,10
Djibouti,Africa,56,63,5,2.3,87,4,27,43
Dominica,LatinAmerica,74,275,11,-0.2,74,2.1,48,-61.3333
Dominican Republic,LatinAmerica,72,206,8,1.6,68,2.8,98,-70.6667
Ecuador,LatinAmerica,73,166,9,1.2,65,2.6,100,-77.5
Egypt,Africa,68,92,7,1.8,43,2.9,27,30
El Salvador,LatinAmerica,72,181,8,1.6,60,2.7,67,-88.9167
Equatorial Guinea,Africa,53,440,6,2.4,39,5.4,128,10
Eritrea,Africa,63,8,4,3.7,20,5.1,85,39
Estonia,Europe,73,632,22,-0.5,69,1.5,20,26
Ethiopia,Africa,57,7,5,2.6,17,5.3,109,38
