,State,Region,Life.Exp,Per.capita.expenditure.on.health....,Over.60....,Annual.growth.rate....,Living.in.urban....,Total.fertility.rate..per.woman.,Adolescent.fertility.rate..per.1000.women.,Longitude,kmeans.proj$cluster
122,New Zealand,Asia&Oceanania,81,2421,17,1.1,86,2,29,174,3
123,Nicaragua,LatinAmerica,73,92,6,1.4,56,2.8,109,-85,2
124,Niger,Africa,51,16,5,3.5,16,7.2,199,8,2
125,Nigeria,Africa,49,33,5,2.5,48,5.4,126,8,2
126,Niue,Asia&Oceanania,70,1043,8,-3.1,38,3,28,-169.8667,1
127,Norway,Europe,81,6267,20,0.6,77,1.8,9,10,4
128,Oman,MiddleEast,74,332,4,1.3,72,3,11,57,2
129,Pakistan,Asia&Oceanania,63,16,6,2,36,3.5,20,70,2
130,Palau,Asia&Oceanania,72,811,7,1.2,79,2.5,31,134.5,1
131,Panama,LatinAmerica,76,380,9,1.8,73,2.6,85,-80,2
132,Papua New Guinea,Asia&Oceanania,63,29,4,2.4,12,3.8,70,147,2
133,Paraguay,LatinAmerica,74,117,7,2,60,3.1,65,-58,2
134,Peru,LatinAmerica,76,149,8,1.3,71,2.5,59,-76,2
135,Philippines,Asia&Oceanania,71,52,6,2.1,64,3.3,55,122,2
136,Poland,Europe,75,555,18,-0.1,61,1.2,13,20,1
137,Portugal,Europe,79,1864,22,0.5,59,1.5,17,-8,1
138,Qatar,MiddleEast,76,2759,3,4.2,96,2.7,16,51.25,3
139,Republic of Korea,Asia&Oceanania,79,1168,15,0.5,81,1.2,2,127.5,1
140,Republic of Moldova,Europe,69,90,15,-1.3,42,1.4,25,29,2
141,Romania,Europe,73,256,20,-0.5,54,1.3,35,25,2
142,Russian Federation,Europe,66,367,17,-0.4,73,1.3,28,100,2
143,Rwanda,Africa,50,33,4,4.2,18,5.9,40,30,2
144,Saint Kitts and Nevis,LatinAmerica,72,570,11,1.3,32,2.3,74,-62.75,1
145,Saint Lucia,LatinAmerica,75,350,10,1,28,2.2,49,-61.1333,2
146,Saint Vincent and the Grenadines,LatinAmerica,70,230,9,0.5,47,2.2,57,-61.2,2
147,Samoa,Asia&Oceanania,68,117,7,0.8,23,4,29,-172.3333,2
148,San Marino,Europe,82,3527,26,1.7,94,1.3,1,12.4167,3
149,Sao Tome and Principe,Africa,61,49,6,1.7,60,3.9,91,7,2
